svfn,ar,staerd,leiguverd,kaupverd,fasteignamat
1400,2021,60-69,195000,40100000,31750
1400,2021,70-79,212500,44000000,36300
1400,2021,80-89,225000,47900000,37550
1400,2021,90-99,235000,52000000,41400
1400,2021,100-109,239000,52500000,43200
1400,2021,110-150,257500,59900000,47750
1400,2022,50-59,148018,40900000,30000
1400,2022,60-69,148018,47500000,34650
1400,2022,70-79,220000,47000000,36775
1400,2022,80-89,235000,52750000,41825
1400,2022,90-99,245000,57750000,43000
1400,2022,100-109,253500,57450000,45675
1400,2022,110-150,275000,67000000,50950
1604,2011,60-69,95000,16500000,13300
1604,2011,70-79,110092,18250000,15350
1604,2011,80-89,117775,20400000,16400
1604,2011,90-99,132000,21450000,18725
1604,2011,100-109,122500,22000000,18050
1604,2011,110-150,156841.5,25600000,21300
1604,2012,60-69,100000,17700000,14550
1604,2012,70-79,130000,21100000,17325
1604,2012,80-89,141000,21250000,17800
1604,2012,90-99,140000,24450000,19800
1604,2012,100-109,150000,23700000,22350
1604,2012,110-150,155000,27500000,22750
1604,2013,50-59,95500,15400000,13100
1604,2013,60-69,90000,19800000,16350
1604,2013,80-89,140000,22850000,19500
1604,2013,90-99,140000,25500000,22500
1604,2013,100-109,166400,28750000,24775
1604,2013,110-150,167346.5,29000000,25250
1604,2014,60-69,110000,22900000,17650
1604,2014,70-79,101330,24600000,17300
1604,2014,80-89,139107,25900000,21200
1604,2014,90-99,156500,27600000,23350
1604,2014,100-109,160000,29700000,24025
1604,2014,110-150,183745,33000000,27800
1604,2015,50-59,107500,20300000,16150
1604,2015,60-69,120000,23650000,18800
1604,2015,70-79,104000,27470000,22500
1604,2015,80-89,170000,27700000,22550
1604,2015,90-99,170001,29500000,25300
1604,2015,100-109,180000,35300000,29050
1604,2015,110-150,195500,35350000,29725
1604,2016,60-69,157500,27000000,21300
1604,2016,80-89,155000,31900000,25900
1604,2016,90-99,185000,34500000,27200
1604,2016,100-109,215000,35500000,27775
1604,2016,110-150,188605,39500000,32650
1604,2017,60-69,170000,32500000,11650
1604,2017,70-79,190000,33200000,17350
1604,2017,80-89,215000,36300000,2790
1604,2017,90-99,230000,41000000,30300
1604,2017,100-109,240000,42550000,27500
1604,2017,110-150,245000,44900000,32850
1604,2018,50-59,165000,32500000,25500
1604,2018,60-69,184000,35700000,17750
1604,2018,70-79,139935,33500000,30400
1604,2018,80-89,227000,40800000,34200
1604,2018,90-99,240000,43600000,36000
1604,2018,100-109,245000,45900000,38025
1604,2018,110-150,255000,49900000,41750
1604,2019,50-59,178000,29900000,22450
1604,2019,60-69,197000,38500000,29400
1604,2019,70-79,203500,37500000,32900
1604,2019,80-89,230000,39900000,34550
1604,2019,90-99,250000,44500000,39700
1604,2019,100-109,253130,47900000,38000
1604,2019,110-150,262000,53000000,43400
1604,2020,50-59,160000,35125000,30650
1604,2020,60-69,202000,39400000,33175
1604,2020,70-79,203000,40000000,34300
1604,2020,80-89,215000,44450000,38775
1604,2020,90-99,237000,47000000,41900
1604,2020,100-109,260000,52700000,44075
1604,2020,110-150,265000,56500000,47550
1604,2021,50-59,150000,38250000,29800
1604,2021,60-69,205000,42700000,33650
1604,2021,70-79,202500,48700000,37600
1604,2021,80-89,230000,46550000,40075
1604,2021,90-99,240000,52925000,42625
1604,2021,100-109,260000,58000000,46100
1604,2021,110-150,265693.5,62900000,48625
1604,2022,60-69,210526,47850000,37300
1604,2022,80-89,230000,58000000,44975
1604,2022,90-99,250000,63800000,47450
1604,2022,100-109,267000,66500000,47600
1604,2022,110-150,250000,71000000,56075
2000,2011,50-59,45279,9023000,7910
2000,2011,60-69,70000,10780000,9330
2000,2011,70-79,75000,13100000,10700
2000,2011,80-89,82000,13550000,11400
2000,2011,90-99,85000,16800000,15900
2000,2011,100-109,65046,17575000,13850
2000,2011,110-150,80833,18500000,17100
2000,2012,50-59,47509,10000000,7970
2000,2012,60-69,70000,11002500,9995
2000,2012,70-79,80000,11900000,11850
2000,2012,80-89,85000,14936000,13050
2000,2012,90-99,90000,16400000,15650
2000,2012,100-109,75839,17000000,16250
2000,2012,110-150,92933,18881000,18850
2000,2013,50-59,54280.5,9610000,8510
2000,2013,60-69,75000,10193000,9790
2000,2013,70-79,94750,12200000,11225
2000,2013,80-89,100000,15115000,12300
2000,2013,90-99,100000,18550000,15900
2000,2013,100-109,83120,16657000,15725
2000,2013,110-150,105682,19500000,17250
2000,2014,50-59,55631,7300000,7970
2000,2014,60-69,78287.5,11010000,10400
2000,2014,70-79,90000,14274000,11800
2000,2014,80-89,100000,14900000,12500
2000,2014,90-99,105000,19634500,15400
2000,2014,100-109,89155,19903000,16425
2000,2014,110-150,109985,20884000,17200
2000,2015,50-59,59086,8450000,8460
2000,2015,60-69,90000,11350000,10125
2000,2015,70-79,112000,14750000,11975
2000,2015,80-89,128700,13900000,13100
2000,2015,90-99,125000,20000000,15950
2000,2015,100-109,103293,20419000,17150
2000,2015,110-150,120057,21175000,18025
2000,2016,50-59,73463,12374500,9184
2000,2016,60-69,105000,13800000,10600
2000,2016,70-79,120000,16200000,11900
2000,2016,80-89,130000,17133500,13100
2000,2016,90-99,134000,24100000,16750
2000,2016,100-109,114915,22500000,17500
2000,2016,110-150,130765,24600000,17850
2000,2017,50-59,90000,16000000,9410
2000,2017,60-69,125000,19000000,11250
2000,2017,70-79,140000,22700000,13100
2000,2017,80-89,155250,24030000,13800
2000,2017,90-99,153500,24900000,14000
2000,2017,100-109,138000,27500000,17250
2000,2017,110-150,160000,31225000,19725
2000,2018,50-59,140000,18150000,11350
2000,2018,60-69,145000,21500000,14850
2000,2018,70-79,165000,23000000,15500
2000,2018,80-89,177000,26200000,19150
2000,2018,90-99,178500,26400000,15200
2000,2018,100-109,160000,30690000,20725
2000,2018,110-150,178750,30900000,21950
2000,2019,50-59,150000,18500000,15900
2000,2019,60-69,150048.5,19700000,19600
2000,2019,70-79,168000,28350000,24675
2000,2019,80-89,185000,29850000,25900
2000,2019,90-99,190000,30000000,26250
2000,2019,100-109,170000,33750000,35425
2000,2019,110-150,191000,34000000,32150
2000,2020,50-59,145000,17950000,15575
2000,2020,60-69,150000,23500000,22300
2000,2020,70-79,175000,29900000,25550
2000,2020,80-89,190000,28500000,28650
2000,2020,90-99,190000,29000000,27450
2000,2020,100-109,175000,39250000,41550
2000,2020,110-150,195000,37000000,37300
2000,2021,50-59,150000,21500000,14275
2000,2021,60-69,160000,26000000,21100
2000,2021,70-79,178000,32900000,21525
2000,2021,80-89,190000,35750000,23825
2000,2021,90-99,190000,31000000,27900
2000,2021,100-109,175000,39500000,33250
2000,2021,110-150,195000,39000000,35200
2000,2022,50-59,162500,26000000,17550
2000,2022,60-69,166500,32000000,21350
2000,2022,70-79,188500,34500000,25575
2000,2022,80-89,195000,40600000,31475
2000,2022,90-99,195000,35750000,26325
2000,2022,100-109,177000,43700000,35550
2000,2022,110-150,207500,48500000,39050
2300,2012,60-69,70000,10000000,9300
2300,2012,100-109,113000,19700000,18500
2300,2013,80-89,100000,9000000,13550
2300,2014,80-89,110000,17000000,14750
2300,2014,90-99,120000,18700000,17000
2300,2014,100-109,125000,24300000,20250
2300,2014,110-150,130000,12500000,14750
2300,2015,50-59,85000,11000000,9010
2300,2015,60-69,90000,15500000,9010
2300,2015,80-89,127000,16800000,14225
2300,2015,90-99,120000,21706000,17150
2300,2015,100-109,116500,29300000,20175
2300,2015,110-150,140000,18350000,15575
2300,2016,50-59,94000,11000000,8500
2300,2016,80-89,129000,19500000,15150
2300,2016,90-99,139000,22500000,16300
2300,2016,100-109,140000,21000000,17700
2300,2016,110-150,165000,24250000,19950
2300,2017,50-59,95216,16900000,8730
2300,2017,80-89,155000,24600000,17325
2300,2017,90-99,155000,28000000,18550
2300,2017,100-109,120000,30000000,18300
2300,2017,110-150,157500,33000000,21500
2300,2018,50-59,125000,23000000,10900
2300,2018,80-89,158000,24000000,14850
2300,2018,90-99,168000,27200000,21450
2300,2018,110-150,150000,33500000,26450
2300,2019,70-79,130000,14700000,15300
2300,2019,80-89,167427.5,27900000,22950
2300,2019,90-99,167000,31000000,25950
2300,2019,100-109,190000,31200000,27150
2300,2019,110-150,184750,37300000,30600
2300,2020,50-59,108283,19000000,14850
2300,2020,80-89,180000,30000000,19550
2300,2020,90-99,183000,32900000,29400
2300,2020,100-109,180000,36000000,33850
2300,2020,110-150,200000,33100000,29100
2300,2021,80-89,180000,35250000,22100
2300,2021,90-99,185000,33000000,30000
2300,2021,110-150,215000,42000000,36150
2300,2022,60-69,180000,36900000,12750
2300,2022,70-79,182500,34750000,13425
2300,2022,80-89,185000,39600000,14900
2300,2022,90-99,205000,42500000,32350
2506,2011,60-69,75000,12196000,9130
2506,2012,70-79,85000,17698000,15450
2506,2015,90-99,159520,19200000,18600
2506,2016,50-59,87000,15600000,7090
2506,2016,70-79,124800,16250000,12325
2506,2016,90-99,150640,21500000,17700
2506,2017,60-69,122500,22200000,13900
2506,2017,70-79,135000,23400000,15600
2506,2017,80-89,200000,18500000,12350
2506,2017,90-99,170000,29500000,19225
2506,2018,60-69,127000,17800000,17550
2506,2018,70-79,150000,26500000,19450
2506,2018,100-109,120000,10000000,14050
2506,2019,70-79,180000,24000000,25000
2506,2019,90-99,170000,28750000,30500
2506,2020,70-79,170000,31500000,26700
2506,2020,90-99,190000,38500000,34300
2506,2021,70-79,170000,31900000,19200
2506,2021,90-99,170000,33040000,17800
2506,2021,110-150,140000,41787500,15275
2506,2022,60-69,150000,32000000,26250
2506,2022,70-79,190000,38950000,27200
2510,2011,70-79,61000,12700000,10600
2510,2013,90-99,85000,11726000,9930
2510,2013,100-109,85000,14955000,12150
2510,2014,70-79,69000,7800000,9310
2510,2015,70-79,85000,9700000,8350
2510,2015,90-99,90000,14200000,12700
2510,2016,70-79,115425,11500000,9510
2510,2016,80-89,130050,14550000,9840
2510,2016,90-99,135000,16800000,11250
2510,2016,110-150,135000,15750000,13650
2510,2017,50-59,125000,14200000,7015
2510,2017,80-89,150000,21000000,9980
2510,2017,90-99,147000,18100000,13210
2510,2017,100-109,140000,23000000,11700
2510,2017,110-150,152500,19000000,12300
2510,2018,80-89,170000,22000000,11100
2510,2018,90-99,140000,20750000,13105
